model,tier,n,a_non,a_think,delta_pp,ci_lo,ci_hi,c
Gemini,S1,30,32.175,17.234,-14.941,-32.421,2.539,-0.4644
Gemini,S2,30,40.484,30.450,-10.033,-27.990,7.924,-0.2478
Gemini,S3,30,50.185,49.486,-0.699,-18.084,16.686,-0.0139
Gemini,S4,30,61.442,85.490,24.048,12.383,35.713,0.6237
Gemini,S5,30,71.934,89.730,17.796,5.265,30.326,0.6341
GLM,S1,30,57.398,23.824,-33.575,-54.109,-13.041,-0.5849
GLM,S2,30,68.303,32.058,-36.245,-51.698,-20.792,-0.5307
GLM,S3,30,83.883,55.988,-27.896,-44.203,-11.589,-0.3326
GLM,S4,30,89.456,89.818,0.362,-8.914,9.638,0.0343
GLM,S5,30,95.611,100.000,4.389,-2.265,11.043,1.0000
MiMo,S1,30,66.326,43.884,-22.442,-41.384,-3.501,-0.3384
MiMo,S2,30,83.333,80.312,-3.021,-16.435,10.392,-0.0363
MiMo,S3,30,97.018,95.406,-1.612,-11.259,8.036,-0.0166
MiMo,S4,30,91.842,98.333,6.491,-3.958,16.941,0.7957
MiMo,S5,30,93.684,100.000,6.316,-2.674,15.306,1.0000
Grok,S1,30,36.122,56.667,20.545,-4.106,45.195,0.3216
Grok,S2,30,80.772,60.325,-20.447,-45.130,4.236,-0.2531
Grok,S3,30,93.107,96.667,3.560,-8.383,15.503,0.5164
Grok,S4,30,87.694,98.333,10.639,-2.085,23.363,0.8646
Grok,S5,30,94.414,100.000,5.586,-2.510,13.681,1.0000
Doubao,S1,30,15.660,33.956,18.296,4.114,32.479,0.2169
Doubao,S2,30,19.024,56.347,37.323,21.160,53.486,0.4609
Doubao,S3,30,54.490,90.291,35.801,19.224,52.378,0.7867
Doubao,S4,30,40.463,93.509,53.046,36.709,69.382,0.8910
Doubao,S5,30,58.755,96.667,37.912,21.077,54.747,0.9192
DeepSeek,S1,30,56.586,82.905,26.319,5.497,47.140,0.6062
DeepSeek,S2,30,59.781,85.450,25.668,7.028,44.308,0.6382
DeepSeek,S3,30,73.115,91.586,18.472,2.091,34.852,0.6871
DeepSeek,S4,30,84.273,96.563,12.290,1.204,23.377,0.7815
DeepSeek,S5,30,93.333,100.000,6.667,-2.807,16.140,1.0000
Kimi,S1,30,63.915,38.007,-25.909,-42.741,-9.077,-0.4054
Kimi,S2,30,89.922,74.664,-15.259,-25.857,-4.660,-0.1697
Kimi,S3,30,95.298,88.024,-7.275,-15.535,0.985,-0.0763
Kimi,S4,30,95.003,89.052,-5.950,-10.878,-1.022,-0.0626
Kimi,S5,30,94.570,93.878,-0.692,-3.476,2.093,-0.0073
