model,arm,multiplier,cli,tier,tier_index,mode,raw_pull,clipped_pull,n_framings,n_anchor_arms
Gemini,x05,0.5,CLI.C.565805443,Fortune,1,non,0.0,0.0,1,1
Gemini,x05,0.5,CLI.C.565805443,Fortune,1,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Fortune,1,non,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Fortune,1,think,0.0,0.0,1,1
Gemini,pooled,,CLI.C.565805443,Fortune,1,non,0.0,0.0,1,2
Gemini,pooled,,CLI.C.565805443,Fortune,1,think,0.0,0.0,1,2
Gemini,x05,0.5,CLI.C.565805443,Layperson,2,non,0.10526315789473684,0.10526315789473684,1,1
Gemini,x05,0.5,CLI.C.565805443,Layperson,2,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Layperson,2,non,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Layperson,2,think,0.0,0.0,1,1
Gemini,pooled,,CLI.C.565805443,Layperson,2,non,0.05263157894736842,0.05263157894736842,1,2
Gemini,pooled,,CLI.C.565805443,Layperson,2,think,0.0,0.0,1,2
Gemini,x05,0.5,CLI.C.565805443,Law student,3,non,0.10526315789473684,0.10526315789473684,1,1
Gemini,x05,0.5,CLI.C.565805443,Law student,3,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Law student,3,non,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Law student,3,think,0.0,0.0,1,1
Gemini,pooled,,CLI.C.565805443,Law student,3,non,0.05263157894736842,0.05263157894736842,1,2
Gemini,pooled,,CLI.C.565805443,Law student,3,think,0.0,0.0,1,2
Gemini,x05,0.5,CLI.C.565805443,Expert,4,non,0.05263157894736842,0.05263157894736842,2,1
Gemini,x05,0.5,CLI.C.565805443,Expert,4,think,0.0,0.0,2,1
Gemini,x2,2.0,CLI.C.565805443,Expert,4,non,0.0,0.0,2,1
Gemini,x2,2.0,CLI.C.565805443,Expert,4,think,0.0,0.0,2,1
Gemini,pooled,,CLI.C.565805443,Expert,4,non,0.02631578947368421,0.02631578947368421,2,2
Gemini,pooled,,CLI.C.565805443,Expert,4,think,0.0,0.0,2,2
Gemini,x05,0.5,CLI.C.565805443,Chief judge,5,non,0.0,0.0,1,1
Gemini,x05,0.5,CLI.C.565805443,Chief judge,5,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Chief judge,5,non,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.565805443,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.565805443,Chief judge,5,non,0.0,0.0,1,2
Gemini,pooled,,CLI.C.565805443,Chief judge,5,think,0.5,0.5,1,2
Gemini,x05,0.5,CLI.C.567792565,Fortune,1,non,0.10784457412963741,0.10784457412963741,1,1
Gemini,x05,0.5,CLI.C.567792565,Fortune,1,think,0.2005232996014363,0.2005232996014363,1,1
Gemini,x2,2.0,CLI.C.567792565,Fortune,1,non,0.18193576987189805,0.18193576987189805,1,1
Gemini,x2,2.0,CLI.C.567792565,Fortune,1,think,-0.16351972947295956,0.0,1,1
Gemini,pooled,,CLI.C.567792565,Fortune,1,non,0.14489017200076773,0.14489017200076773,1,2
Gemini,pooled,,CLI.C.567792565,Fortune,1,think,0.01850178506423837,0.10026164980071815,1,2
Gemini,x05,0.5,CLI.C.567792565,Layperson,2,non,0.08481387966720312,0.08481387966720312,1,1
Gemini,x05,0.5,CLI.C.567792565,Layperson,2,think,0.18113307487582572,0.18113307487582572,1,1
Gemini,x2,2.0,CLI.C.567792565,Layperson,2,non,0.149832851065897,0.149832851065897,1,1
Gemini,x2,2.0,CLI.C.567792565,Layperson,2,think,-0.16351972947295956,0.0,1,1
Gemini,pooled,,CLI.C.567792565,Layperson,2,non,0.11732336536655005,0.11732336536655005,1,2
Gemini,pooled,,CLI.C.567792565,Layperson,2,think,0.00880667270143308,0.09056653743791286,1,2
Gemini,x05,0.5,CLI.C.567792565,Law student,3,non,0.4627147184019504,0.4627147184019504,1,1
Gemini,x05,0.5,CLI.C.567792565,Law student,3,think,0.3187563771966228,0.3187563771966228,1,1
Gemini,x2,2.0,CLI.C.567792565,Law student,3,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.567792565,Law student,3,think,0.477870057411777,0.477870057411777,1,1
Gemini,pooled,,CLI.C.567792565,Law student,3,non,0.7313573592009752,0.7313573592009752,1,2
Gemini,pooled,,CLI.C.567792565,Law student,3,think,0.3983132173041999,0.3983132173041999,1,2
Gemini,x05,0.5,CLI.C.567792565,Expert,4,non,0.5894387201975916,0.5894387201975916,2,1
Gemini,x05,0.5,CLI.C.567792565,Expert,4,think,0.6810384884137496,0.6810384884137496,2,1
Gemini,x2,2.0,CLI.C.567792565,Expert,4,non,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.567792565,Expert,4,think,0.5866654566206686,0.5866654566206686,2,1
Gemini,pooled,,CLI.C.567792565,Expert,4,non,0.7947193600987958,0.7947193600987958,2,2
Gemini,pooled,,CLI.C.567792565,Expert,4,think,0.633851972517209,0.633851972517209,2,2
Gemini,x05,0.5,CLI.C.567792565,Chief judge,5,non,0.5894387201975916,0.5894387201975916,1,1
Gemini,x05,0.5,CLI.C.567792565,Chief judge,5,think,0.44635351453734806,0.44635351453734806,1,1
Gemini,x2,2.0,CLI.C.567792565,Chief judge,5,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.567792565,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.567792565,Chief judge,5,non,0.7947193600987958,0.7947193600987958,1,2
